"CASE_ID","Placement","Housing","BasicNeeds","FSC","PlacementAsY","CloseTimes","Duration"
31853,TRUE,FALSE,TRUE,FALSE,TRUE,2,306
31856,TRUE,FALSE,TRUE,TRUE,FALSE,2,306
31869,TRUE,FALSE,TRUE,FALSE,FALSE,3,183
31884,TRUE,TRUE,TRUE,FALSE,TRUE,3,215
31942,TRUE,TRUE,TRUE,TRUE,FALSE,3,122
31962,TRUE,FALSE,TRUE,FALSE,TRUE,4,245
31978,FALSE,FALSE,TRUE,FALSE,FALSE,2,306
31991,FALSE,TRUE,TRUE,TRUE,FALSE,4,184
31999,TRUE,TRUE,TRUE,TRUE,FALSE,2,274
32007,TRUE,TRUE,TRUE,TRUE,FALSE,4,184
32048,FALSE,TRUE,TRUE,FALSE,FALSE,2,92
32055,FALSE,TRUE,TRUE,FALSE,FALSE,2,92
32078,TRUE,TRUE,TRUE,FALSE,FALSE,3,0
32086,TRUE,TRUE,TRUE,TRUE,TRUE,4,215
32091,TRUE,FALSE,TRUE,TRUE,TRUE,3,123
32095,TRUE,TRUE,TRUE,TRUE,TRUE,3,153
32124,TRUE,TRUE,TRUE,FALSE,FALSE,2,306
32169,FALSE,TRUE,FALSE,TRUE,FALSE,3,92
32209,FALSE,FALSE,FALSE,FALSE,FALSE,2,92
32274,TRUE,TRUE,TRUE,TRUE,FALSE,2,92
32301,FALSE,FALSE,TRUE,FALSE,TRUE,2,245
32324,TRUE,TRUE,TRUE,TRUE,FALSE,5,62
32334,TRUE,FALSE,TRUE,TRUE,FALSE,5,245
32397,TRUE,TRUE,TRUE,FALSE,TRUE,2,366
32418,FALSE,TRUE,TRUE,FALSE,FALSE,3,90
32428,FALSE,TRUE,TRUE,TRUE,FALSE,2,123
32478,FALSE,TRUE,TRUE,FALSE,TRUE,2,276
32542,TRUE,TRUE,TRUE,FALSE,TRUE,5,214
32604,TRUE,FALSE,TRUE,FALSE,FALSE,2,215
32613,TRUE,TRUE,TRUE,FALSE,TRUE,3,337
32615,FALSE,FALSE,TRUE,FALSE,TRUE,4,60
32659,TRUE,TRUE,TRUE,TRUE,FALSE,4,276
32668,FALSE,FALSE,FALSE,FALSE,FALSE,5,91
32680,TRUE,TRUE,TRUE,FALSE,FALSE,4,92
32716,FALSE,TRUE,TRUE,TRUE,TRUE,3,122
32731,TRUE,TRUE,FALSE,TRUE,FALSE,4,122
32754,FALSE,FALSE,TRUE,FALSE,FALSE,3,92
32790,TRUE,TRUE,TRUE,FALSE,FALSE,3,62
32801,FALSE,FALSE,TRUE,FALSE,TRUE,3,62
32809,FALSE,TRUE,TRUE,TRUE,FALSE,2,214
32839,TRUE,FALSE,TRUE,FALSE,FALSE,3,61
32902,FALSE,TRUE,TRUE,FALSE,TRUE,6,92
32945,FALSE,FALSE,FALSE,TRUE,FALSE,4,123
32961,TRUE,TRUE,TRUE,TRUE,FALSE,2,0
32980,FALSE,FALSE,TRUE,FALSE,FALSE,2,62
32993,TRUE,FALSE,FALSE,FALSE,TRUE,2,397
33098,TRUE,FALSE,TRUE,TRUE,FALSE,2,276
33101,FALSE,TRUE,TRUE,FALSE,TRUE,2,276
33102,FALSE,TRUE,TRUE,FALSE,TRUE,3,123
33135,TRUE,FALSE,TRUE,TRUE,TRUE,6,366
33138,FALSE,TRUE,TRUE,TRUE,FALSE,2,184
33139,TRUE,TRUE,TRUE,TRUE,TRUE,4,62
33170,FALSE,FALSE,TRUE,FALSE,FALSE,3,61
33197,FALSE,FALSE,FALSE,FALSE,FALSE,2,304
33255,TRUE,FALSE,TRUE,FALSE,FALSE,2,153
33268,FALSE,TRUE,TRUE,TRUE,TRUE,2,245
33274,FALSE,TRUE,TRUE,FALSE,TRUE,2,276
33289,FALSE,TRUE,TRUE,TRUE,FALSE,3,0
33301,TRUE,TRUE,TRUE,TRUE,FALSE,3,123
33339,FALSE,FALSE,TRUE,TRUE,TRUE,3,123
33342,FALSE,TRUE,TRUE,TRUE,TRUE,2,62
33349,TRUE,FALSE,TRUE,TRUE,FALSE,4,276
33366,TRUE,FALSE,TRUE,FALSE,TRUE,2,306
33405,FALSE,TRUE,TRUE,FALSE,FALSE,2,123
33410,FALSE,FALSE,TRUE,FALSE,TRUE,5,123
33413,TRUE,TRUE,TRUE,FALSE,FALSE,3,122
33453,TRUE,FALSE,TRUE,TRUE,FALSE,3,276
33472,TRUE,TRUE,TRUE,TRUE,FALSE,3,92
33514,FALSE,FALSE,TRUE,FALSE,FALSE,3,123
33598,TRUE,TRUE,TRUE,TRUE,FALSE,4,90
33624,TRUE,TRUE,TRUE,FALSE,FALSE,2,306
33648,FALSE,TRUE,TRUE,FALSE,FALSE,4,92
33651,FALSE,FALSE,TRUE,FALSE,FALSE,4,30
33671,FALSE,FALSE,FALSE,FALSE,TRUE,5,215
33673,TRUE,TRUE,TRUE,FALSE,TRUE,5,215
33692,TRUE,TRUE,TRUE,TRUE,TRUE,3,306
33693,TRUE,FALSE,FALSE,FALSE,FALSE,2,121
33700,FALSE,TRUE,TRUE,FALSE,FALSE,2,91
33724,FALSE,FALSE,FALSE,FALSE,FALSE,5,122
33771,FALSE,FALSE,TRUE,FALSE,TRUE,2,30
33809,FALSE,FALSE,FALSE,TRUE,FALSE,2,122
33820,TRUE,TRUE,TRUE,FALSE,FALSE,4,151
33824,FALSE,TRUE,TRUE,FALSE,TRUE,3,245
33841,TRUE,TRUE,TRUE,FALSE,FALSE,2,122
33876,FALSE,FALSE,TRUE,FALSE,FALSE,2,274
33902,FALSE,FALSE,TRUE,FALSE,TRUE,2,31
33904,TRUE,FALSE,TRUE,FALSE,FALSE,2,92
33941,FALSE,TRUE,TRUE,TRUE,TRUE,2,184
33950,FALSE,TRUE,TRUE,FALSE,FALSE,2,306
33958,FALSE,FALSE,TRUE,FALSE,FALSE,2,397
34021,FALSE,FALSE,TRUE,FALSE,FALSE,2,153
34082,TRUE,TRUE,TRUE,TRUE,TRUE,3,92
34126,FALSE,TRUE,TRUE,TRUE,FALSE,2,62
34145,FALSE,TRUE,TRUE,TRUE,FALSE,3,61
34154,TRUE,TRUE,TRUE,FALSE,FALSE,2,337
34155,FALSE,TRUE,TRUE,FALSE,TRUE,3,366
34193,FALSE,TRUE,TRUE,FALSE,FALSE,5,183
34279,FALSE,TRUE,TRUE,TRUE,FALSE,5,62
34312,TRUE,TRUE,FALSE,FALSE,FALSE,3,215
34319,TRUE,FALSE,TRUE,FALSE,TRUE,2,123
34341,TRUE,TRUE,TRUE,TRUE,TRUE,3,30
34622,TRUE,TRUE,TRUE,TRUE,FALSE,3,276
34771,TRUE,TRUE,TRUE,FALSE,FALSE,3,62
34779,TRUE,FALSE,TRUE,TRUE,TRUE,3,184
34815,FALSE,TRUE,TRUE,FALSE,FALSE,2,366
34842,FALSE,FALSE,TRUE,TRUE,FALSE,2,62
34851,TRUE,TRUE,TRUE,TRUE,FALSE,3,30
34866,FALSE,TRUE,TRUE,FALSE,FALSE,4,245
34868,FALSE,FALSE,TRUE,TRUE,FALSE,2,153
34871,FALSE,FALSE,FALSE,TRUE,TRUE,4,184
34889,FALSE,FALSE,TRUE,FALSE,FALSE,2,153
34896,FALSE,FALSE,TRUE,TRUE,FALSE,3,276
34902,FALSE,TRUE,TRUE,FALSE,TRUE,4,92
34933,TRUE,TRUE,TRUE,FALSE,FALSE,3,276
34938,FALSE,FALSE,FALSE,FALSE,FALSE,2,30
35045,FALSE,FALSE,TRUE,TRUE,FALSE,2,276
35070,FALSE,TRUE,TRUE,FALSE,FALSE,2,60
35095,FALSE,FALSE,TRUE,TRUE,FALSE,2,62
35137,FALSE,TRUE,FALSE,FALSE,TRUE,2,306
35211,TRUE,TRUE,TRUE,FALSE,FALSE,3,31
35279,FALSE,FALSE,TRUE,TRUE,FALSE,3,122
35292,TRUE,FALSE,TRUE,TRUE,FALSE,2,123
35343,TRUE,TRUE,TRUE,TRUE,FALSE,4,92
35460,FALSE,FALSE,TRUE,FALSE,FALSE,3,306
35475,TRUE,TRUE,TRUE,TRUE,FALSE,3,92
35485,FALSE,TRUE,TRUE,FALSE,FALSE,3,0
35486,TRUE,TRUE,TRUE,FALSE,TRUE,3,306
35495,FALSE,TRUE,TRUE,TRUE,FALSE,4,0
36008,FALSE,TRUE,TRUE,FALSE,TRUE,3,31
36714,FALSE,FALSE,TRUE,FALSE,FALSE,2,62
37967,TRUE,TRUE,TRUE,TRUE,TRUE,4,397
38507,FALSE,FALSE,TRUE,FALSE,FALSE,2,397
39033,TRUE,TRUE,FALSE,FALSE,FALSE,2,153
39138,TRUE,TRUE,TRUE,FALSE,FALSE,2,184
39146,TRUE,FALSE,TRUE,FALSE,FALSE,2,184
39179,FALSE,FALSE,TRUE,FALSE,FALSE,3,245
39962,TRUE,TRUE,TRUE,TRUE,FALSE,2,184
40541,FALSE,FALSE,FALSE,FALSE,TRUE,2,215
40747,FALSE,TRUE,TRUE,TRUE,FALSE,1,397
41622,FALSE,TRUE,TRUE,TRUE,TRUE,2,62
41785,FALSE,TRUE,TRUE,FALSE,FALSE,3,92
42009,FALSE,TRUE,TRUE,TRUE,FALSE,1,397
42049,TRUE,TRUE,TRUE,FALSE,FALSE,2,0
42175,FALSE,FALSE,TRUE,TRUE,TRUE,2,184
43069,FALSE,TRUE,TRUE,TRUE,FALSE,3,123
43283,FALSE,FALSE,FALSE,FALSE,FALSE,2,276
47057,FALSE,FALSE,TRUE,FALSE,FALSE,2,62
47089,FALSE,TRUE,TRUE,FALSE,FALSE,2,153
47106,FALSE,FALSE,TRUE,FALSE,FALSE,2,61
47149,FALSE,TRUE,FALSE,FALSE,TRUE,3,397
47157,FALSE,FALSE,TRUE,TRUE,TRUE,4,306
47220,TRUE,FALSE,TRUE,FALSE,FALSE,3,276
47253,FALSE,FALSE,TRUE,FALSE,FALSE,2,123
47271,TRUE,FALSE,FALSE,FALSE,FALSE,3,31
47289,FALSE,FALSE,TRUE,FALSE,FALSE,3,92
47530,FALSE,TRUE,FALSE,TRUE,TRUE,2,153
47536,FALSE,FALSE,TRUE,FALSE,TRUE,2,92
47572,FALSE,TRUE,TRUE,FALSE,FALSE,3,92
47573,FALSE,FALSE,TRUE,TRUE,FALSE,4,0
47590,TRUE,TRUE,TRUE,FALSE,TRUE,2,92
47592,FALSE,TRUE,TRUE,TRUE,FALSE,3,123
47653,FALSE,TRUE,TRUE,FALSE,FALSE,3,397
47655,TRUE,FALSE,TRUE,TRUE,TRUE,3,30
47678,FALSE,TRUE,TRUE,TRUE,TRUE,3,337
47740,FALSE,FALSE,TRUE,FALSE,TRUE,2,184
47767,TRUE,TRUE,TRUE,TRUE,TRUE,2,92
47775,TRUE,FALSE,TRUE,FALSE,TRUE,3,153
47804,TRUE,TRUE,TRUE,FALSE,FALSE,2,123
47829,FALSE,FALSE,TRUE,FALSE,FALSE,2,31
48227,TRUE,TRUE,TRUE,TRUE,TRUE,5,184
48241,FALSE,TRUE,TRUE,TRUE,FALSE,2,92
48256,FALSE,FALSE,FALSE,FALSE,FALSE,2,0
48289,TRUE,TRUE,TRUE,TRUE,TRUE,2,153
48296,FALSE,TRUE,TRUE,FALSE,TRUE,2,276
48337,TRUE,FALSE,TRUE,FALSE,FALSE,2,153
48361,TRUE,TRUE,TRUE,FALSE,FALSE,3,122
48366,FALSE,FALSE,TRUE,FALSE,FALSE,2,31
48398,FALSE,FALSE,TRUE,FALSE,FALSE,2,337
48433,FALSE,TRUE,TRUE,TRUE,FALSE,3,123
48475,FALSE,FALSE,TRUE,FALSE,TRUE,3,153
48488,FALSE,TRUE,TRUE,TRUE,FALSE,2,337
48526,FALSE,TRUE,TRUE,TRUE,FALSE,3,245
48532,FALSE,TRUE,TRUE,FALSE,TRUE,3,153
48539,FALSE,FALSE,TRUE,FALSE,FALSE,2,337
48555,TRUE,FALSE,TRUE,FALSE,FALSE,3,92
48565,FALSE,TRUE,TRUE,FALSE,FALSE,2,61
48613,FALSE,FALSE,TRUE,TRUE,FALSE,2,31
48665,FALSE,TRUE,TRUE,FALSE,FALSE,2,62
48717,FALSE,FALSE,TRUE,FALSE,FALSE,4,215
48721,FALSE,TRUE,TRUE,TRUE,FALSE,4,90
