"","CLIENT_ID","CASE_ID","ACHA","AIU_CHILD","AIU_PARENT","CYF_KPL","CYF_PL_O","DA","DPW_FS","DPW_GA","DPW_SSI","DPW_TANF","EI","FSC","HACP","HH","IL_CHILD","JPO","JPO_CHILD","JPO_KPL","JPO_PL_O","MH","ID"
"4358",942910,60753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4359",942911,60753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4360",942912,60753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4361",943064,61134,NA,NA,NA,NA,NA,0,0,NA,NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA
"4362",943357,61064,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"4363",943358,61064,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"4364",943377,59012,NA,NA,NA,NA,NA,NA,-1,NA,NA,-1,NA,NA,NA,-1,NA,NA,NA,NA,NA,-1,NA
"4365",943378,59012,0,NA,NA,NA,NA,0,-1,NA,NA,NA,NA,NA,NA,-1,NA,-1,0,NA,NA,0,NA
"4366",943565,61142,NA,NA,NA,NA,-1,-1,0,NA,NA,0,NA,0,NA,NA,-1,NA,NA,NA,NA,-1,NA
"4367",943566,61142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4368",943567,61142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4369",943639,51404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4370",943640,51404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4371",943641,51404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4372",944236,58583,NA,NA,NA,0,NA,NA,0,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"4373",944346,61589,0,NA,NA,NA,NA,NA,0,NA,-1,-1,NA,-1,NA,NA,NA,NA,NA,NA,NA,0,NA
"4374",944348,61589,NA,NA,NA,NA,NA,NA,0,NA,0,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,0,NA
"4375",944349,61589,0,NA,NA,NA,NA,NA,0,NA,0,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,0,NA
"4376",944352,59086,NA,NA,NA,NA,NA,0,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"4377",944371,61054,NA,NA,NA,NA,-1,NA,0,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"4378",944376,54075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"4379",944404,50199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"4380",944553,61301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,1,NA
