"","serviceName","serviceStatus","percent"
"1","Housing","TRUE",33.3333333333333
"2","Basic Needs","TRUE",30.7553956834532
"3","FSC","TRUE",34.3567251461988
"4","Housing","FALSE",26.1432269197584
"5","Baisc Needs","FALSE",20.8237986270023
"6","FSC","FALSE",22.8901734104046
